ionel invatat 2/4 (snt: 100, intel: 27, obos: 57, dispoz: 95)
ionel invatat 3/4 (snt: 100, intel: 34, obos: 64, dispoz: 90)
ionel invatat 4/4 (snt: 100, intel: 41, obos: 71, dispoz: 85)
ionel invatat 1/4 (snt: 100, intel: 48, obos: 78, dispoz: 80)
ionel invatat 2/4 (snt: 100, intel: 55, obos: 85, dispoz: 75)
ionel invatat 3/4 (snt: 100, intel: 62, obos: 92, dispoz: 70)
ionel invatat 4/4 (snt: 100, intel: 69, obos: 99, dispoz: 65)
ionel invatat 1/4 (snt: 100, intel: 72, obos: 100, dispoz: 60)
ionel invatat 2/4 (snt: 100, intel: 75, obos: 100, dispoz: 55)
ionel invatat 3/4 (snt: 100, intel: 78, obos: 100, dispoz: 50)
ionel invatat 4/4 (snt: 100, intel: 81, obos: 100, dispoz: 45)
ionel iesit_cu_prietenii 1/3 (snt: 100, intel: 84, obos: 100, dispoz: 40)
ionel iesit_cu_prietenii 2/3 (snt: 100, intel: 84, obos: 100, dispoz: 45)
ionel iesit_cu_prietenii 3/3 (snt: 100, intel: 84, obos: 100, dispoz: 50)
ionel iesit_cu_prietenii 1/3 (snt: 100, intel: 84, obos: 100, dispoz: 55)
ionel iesit_cu_prietenii 2/3 (snt: 100, intel: 84, obos: 100, dispoz: 60)
ionel iesit_cu_prietenii 3/3 (snt: 100, intel: 84, obos: 100, dispoz: 65)
ionel baut_cafea 1/1 (snt: 100, intel: 84, obos: 100, dispoz: 70)
ionel invatat 1/4 (snt: 94, intel: 82, obos: 100, dispoz: 71)
ionel invatat 2/4 (snt: 93, intel: 85, obos: 100, dispoz: 66)
ionel invatat 3/4 (snt: 92, intel: 88, obos: 100, dispoz: 61)
ionel invatat 4/4 (snt: 92, intel: 91, obos: 100, dispoz: 56)
ionel invatat 1/4 (snt: 92, intel: 94, obos: 100, dispoz: 51)
ionel invatat 2/4 (snt: 92, intel: 97, obos: 100, dispoz: 46)
ionel invatat 3/4 (snt: 92, intel: 100, obos: 100, dispoz: 41)
Elevul ionel a absolvit scoala!
ionel invatat 2/4 (snt: 100, intel: 27, obos: 57, dispoz: 95)
ionel invatat 3/4 (snt: 100, intel: 34, obos: 64, dispoz: 90)
ionel invatat 4/4 (snt: 100, intel: 41, obos: 71, dispoz: 85)
ionel invatat 1/4 (snt: 100, intel: 48, obos: 78, dispoz: 80)
ionel invatat 2/4 (snt: 100, intel: 55, obos: 85, dispoz: 75)
ionel invatat 3/4 (snt: 100, intel: 62, obos: 92, dispoz: 70)
ionel invatat 4/4 (snt: 100, intel: 69, obos: 99, dispoz: 65)
ionel invatat 1/4 (snt: 100, intel: 72, obos: 100, dispoz: 60)
ionel invatat 2/4 (snt: 100, intel: 75, obos: 100, dispoz: 55)
ionel invatat 3/4 (snt: 100, intel: 78, obos: 100, dispoz: 50)
