text,label
"Je voudrais vous demander un conseil au sujet de l' article 143 , qui concerne l' irrecevabilité .",Scotland
"Ma question porte sur un sujet qui est à l' ordre du jour du jeudi et que je soulèverai donc une nouvelle fois .",Scotland
"Monsieur le Président , en ce qui concerne le rapport Schroedter , je suis conscient du fait - et M. Barnier me l' a confirmé - que les règles d' additionalité touchant aux fonds structurels ne s' appliquent qu' au niveau des États membres , et ne s' appliquent pas de manière transitive et transparente au sein des États membres , en faveur des régions autonomes comme le pays de Galles et l' Écosse .",Scotland
"Je considère qu' il s' agit d' un état de fait très insatisfaisant .",Scotland
"J' espère que nous pourrons réexaminer cette question ultérieurement .",Scotland
"Je veux qu' il soit clair que , bien que j' aie voté en faveur du rapport , j' émet cette réserve importante .",Scotland
"J' émets une objection quant au fait que nous diminuions le temps de l' heure des questions ; c' est une des rares occasions au cours de laquelle le commun des députés a l' opportunité d' intervenir et je vous demande de la prolonger à une heure et demie comme il est stipulé dans l' ordre du jour .",Scotland
"C' est l' ordre du jour et je pense que nous devons nous y tenir .",Scotland
"Amsterdam et Tampere nous ont donné beaucoup de travail à faire ensemble , comme le montre l' excellent projet de résolution de Mme Terrón aujourd'hui .",Scotland
"Le premier est qu' il est temps que nous ayons un dialogue réfléchi entre le Conseil et le Parlement européen .",Scotland
"Cela fait tout juste six mois que le traité d' Amsterdam impose à nos deux organisations d' uvrer main dans la main : nous nous sommes jaugées , nous avons eu quelques prises de bec sans importance , mais il est temps à présent de travailler effectivement ensemble .",Scotland
"S' il vous plaît , laissez -nous participer à vos discussions de politique et de procédure .",Scotland
"Ne prétendons pas que les parlements nationaux sont en mesure d' exercer un véritable contrôle démocratique sur les activités des gouvernements dans le domaine qui nous intéresse .",Scotland
"Mon deuxième point est que nous avons besoin d' une Commission dotée de ressources suffisantes .",Scotland
"Nous avons créé une nouvelle direction générale qui ne compte cependant encore que 70 unités tout compris .",Scotland
"Un accord existe pour doubler ses effectifs , mais je crois savoir qu' il n' y a encore eu jusqu'à présent aucune nouvelle recrue .",Scotland
"Nous imposons à la Commission une tâche énorme , ne fût -ce qu' avec l' établissement du fameux scoreboard .",Scotland
"Le Conseil et le Parlement doivent travailler ensemble pour fournir à la Commission les moyens dont elle a besoin .",Scotland
"Enfin , au sujet du contenu du débat , je me félicite de ce que la présidence ait placé la liberté , la sécurité et la justice au premier rang de ses priorités .",Scotland
"Toutes les bonnes choses vont par trois , en particulier en politique .",Scotland
"Il y a deux cents ans , c' était la liberté , l' égalité et la fraternité et tout se passait bien jusqu'à ce que les gouvernements de gauche décident de placer l' égalité au-dessus des deux autres .",Scotland
"Aujourd'hui , le trio est liberté , sécurité et justice et j' espère que les gouvernements actuels de gauche prendront garde aux propos du commissaire Vitorino et résisteront à la tentation d' élever la sécurité , aussi importante soit -elle , au-dessus des besoins de liberté et de justice , tout aussi importants .",Scotland
"Ce sujet n' a pas reçu une attention adéquate et de nombreux éléments sont source de préoccupation .",Scotland
"Permettez -moi d' attirer plus particulièrement l' attention sur l' une des implications de l' élargissement pour ce Parlement .",Scotland
"Il a été décidé que le Parlement ne pouvait raisonnablement compter plus de 700 députés si l' on voulait qu' il reste une Assemblée délibérante .",Scotland
"Or , que se passera -t-il si nous maintenons le nombre maximal de députés au Parlement européen à 700 , si nous incluons graduellement 26 % de population en plus , et si ensuite nous adoptons la proposition de la Commission - que j' estime peu réfléchie - à savoir que nous devrions disposer d' une liste européenne de candidats .",Scotland
"Qu' arrivera -t-il à une région comme l' Écosse , que je représente ici ?",Scotland
"Elle deviendra totalement invisible !",Scotland
